user_id,installed_at,created_at,updated_at,channel,campaign
u000001,2023-01-01 21:49:00,2023-01-01 21:56:00,2023-01-01 21:56:00,google_ads,new_user_promo
u000002,2023-01-01 00:51:00,2023-01-01 01:38:00,2023-01-01 01:38:00,google_ads,new_user_promo
u000003,2023-01-01 09:23:00,2023-01-01 09:38:00,2023-01-01 09:38:00,google_ads,new_user_promo
u000004,2023-01-01 07:37:00,2023-01-01 07:45:00,2023-01-01 07:45:00,google_ads,new_user_promo
u000005,2023-01-01 03:29:00,2023-01-01 04:12:00,2023-01-01 04:12:00,google_ads,new_user_promo
u000006,2023-01-01 18:36:00,2023-01-01 18:41:00,2023-01-01 18:41:00,google_ads,summer_sale
u000007,2023-01-01 20:09:00,2023-01-01 20:36:00,2023-01-01 20:36:00,google_ads,summer_sale
u000008,2023-01-01 01:05:00,2023-01-01 01:06:00,2023-01-01 01:06:00,google_ads,summer_sale
u000009,2023-01-01 03:11:00,2023-01-01 03:24:00,2023-01-01 03:24:00,google_ads,holiday_special
u000010,2023-01-01 07:56:00,2023-01-01 08:28:00,2023-01-01 08:28:00,google_ads,holiday_special
u000011,2023-01-01 20:32:00,2023-01-01 20:33:00,2023-01-01 20:33:00,google_ads,holiday_special
u000012,2023-01-01 19:09:00,2023-01-01 19:21:00,2023-01-01 19:21:00,google_ads,holiday_special
u000013,2023-01-01 22:10:00,2023-01-01 22:54:00,2023-01-01 22:54:00,google_ads,brand_awareness
u000014,2023-01-01 18:36:00,2023-01-01 19:02:00,2023-01-01 19:02:00,google_ads,brand_awareness
u000015,2023-01-01 07:31:00,2023-01-01 07:59:00,2023-01-01 07:59:00,google_ads,retargeting
u000016,2023-01-01 20:06:00,2023-01-01 20:23:00,2023-01-01 20:23:00,google_ads,retargeting
u000017,2023-01-01 00:13:00,2023-01-01 01:01:00,2023-01-01 01:01:00,google_ads,retargeting
u000018,2023-01-01 05:26:00,2023-01-01 06:10:00,2023-01-01 06:10:00,google_ads,retargeting
u000019,2023-01-01 14:25:00,2023-01-01 14:46:00,2023-01-01 14:46:00,google_ads,retargeting
u000020,2023-01-01 09:29:00,2023-01-01 09:38:00,2023-01-01 09:38:00,google_ads,retargeting
u000021,2023-01-01 07:20:00,2023-01-01 08:08:00,2023-01-01 08:08:00,facebook,new_user_promo
u000022,2023-01-01 11:29:00,2023-01-01 11:35:00,2023-01-01 11:35:00,facebook,new_user_promo
u000023,2023-01-01 03:09:00,2023-01-01 03:33:00,2023-01-01 03:33:00,facebook,new_user_promo
u000024,2023-01-01 03:18:00,2023-01-01 03:40:00,2023-01-01 03:40:00,facebook,new_user_promo
u000025,2023-01-01 11:44:00,2023-01-01 12:22:00,2023-01-01 12:22:00,facebook,summer_sale
u000026,2023-01-01 09:01:00,2023-01-01 09:52:00,2023-01-01 09:52:00,facebook,summer_sale
u000027,2023-01-01 01:28:00,2023-01-01 02:14:00,2023-01-01 02:14:00,facebook,summer_sale
u000028,2023-01-01 15:40:00,2023-01-01 16:14:00,2023-01-01 16:14:00,facebook,summer_sale
u000029,2023-01-01 04:15:00,2023-01-01 05:14:00,2023-01-01 05:14:00,facebook,summer_sale
u000030,2023-01-01 12:55:00,2023-01-01 13:00:00,2023-01-01 13:00:00,facebook,holiday_special
u000031,2023-01-01 18:50:00,2023-01-01 19:08:00,2023-01-01 19:08:00,facebook,holiday_special
u000032,2023-01-01 21:27:00,2023-01-01 22:06:00,2023-01-01 22:06:00,facebook,holiday_special
u000033,2023-01-01 12:20:00,2023-01-01 12:56:00,2023-01-01 12:56:00,facebook,brand_awareness
u000034,2023-01-01 06:33:00,2023-01-01 07:18:00,2023-01-01 07:18:00,facebook,retargeting
u000035,2023-01-01 02:22:00,2023-01-01 02:24:00,2023-01-01 02:24:00,facebook,retargeting
u000036,2023-01-01 22:34:00,2023-01-01 22:48:00,2023-01-01 22:48:00,facebook,retargeting
u000037,2023-01-01 09:52:00,2023-01-01 09:57:00,2023-01-01 09:57:00,facebook,retargeting
